long,lat,suitability,species
52.75,-9.25,0.1899999976158142,silky shark
53.25,-9.25,0.550000011920929,silky shark
53.75,-9.25,0.4900000095367432,silky shark
39.75,-9.75,1,silky shark
40.25,-9.75,1,silky shark
40.75,-9.75,0.8199999928474426,silky shark
41.25,-9.75,0.4699999988079071,silky shark
41.75,-9.75,0.5699999928474426,silky shark
42.25,-9.75,0.3700000047683716,silky shark
42.75,-9.75,0.28999999165534973,silky shark
43.25,-9.75,0.20000000298023224,silky shark
43.75,-9.75,0.12999999523162842,silky shark
44.25,-9.75,0.119999997317791,silky shark
44.75,-9.75,0.07999999821186066,silky shark
45.25,-9.75,0.05999999865889549,silky shark
45.75,-9.75,0.05000000074505806,silky shark
46.25,-9.75,0.7400000095367432,silky shark
46.75,-9.75,1,silky shark
47.25,-9.75,0.4900000095367432,silky shark
47.75,-9.75,1,silky shark
49.25,-9.75,0.10999999940395357,silky shark
49.75,-9.75,0.25,silky shark
50.25,-9.75,0.9100000262260436,silky shark
50.75,-9.75,1,silky shark
51.25,-9.75,1,silky shark
51.75,-9.75,0.6600000262260437,silky shark
52.25,-9.75,0.02999999932944774,silky shark
52.75,-9.75,0.09000000357627869,silky shark
53.75,-9.75,0.10999999940395357,silky shark
39.75,-10.25,1,silky shark
40.25,-10.25,1,silky shark
40.75,-10.25,1,silky shark
41.25,-10.25,0.6299999952316284,silky shark
41.75,-10.25,0.5899999737739563,silky shark
42.25,-10.25,0.4900000095367432,silky shark
42.75,-10.25,0.33000001311302185,silky shark
43.25,-10.25,0.2199999988079071,silky shark
43.75,-10.25,0.20999999344348907,silky shark
44.25,-10.25,0.18000000715255737,silky shark
44.75,-10.25,0.12999999523162842,silky shark
45.25,-10.25,0.10999999940395357,silky shark
45.75,-10.25,0.10000000149011612,silky shark
46.25,-10.25,0.07000000029802322,silky shark
46.75,-10.25,0.36000001430511475,silky shark
47.25,-10.25,0.7200000286102295,silky shark
47.75,-10.25,1,silky shark
48.25,-10.25,0.00999999977648258,silky shark
48.75,-10.25,0.27000001072883606,silky shark
49.25,-10.25,0.3199999928474426,silky shark
49.75,-10.25,0.3400000035762787,silky shark
50.25,-10.25,0.75,silky shark
50.75,-10.25,1,silky shark
51.25,-10.25,1,silky shark
51.75,-10.25,0.8600000143051147,silky shark
52.25,-10.25,0.05999999865889549,silky shark
40.75,-10.75,1,silky shark
41.25,-10.75,0.8600000143051147,silky shark
41.75,-10.75,0.6499999761581421,silky shark
42.25,-10.75,0.5199999809265137,silky shark
42.75,-10.75,0.3700000047683716,silky shark
43.25,-10.75,0.3400000035762787,silky shark
43.75,-10.75,0.3700000047683716,silky shark
44.25,-10.75,0.1899999976158142,silky shark
44.75,-10.75,0.1899999976158142,silky shark
45.25,-10.75,0.18000000715255737,silky shark
45.75,-10.75,0.14000000059604645,silky shark
46.25,-10.75,0.10999999940395357,silky shark
46.75,-10.75,0.4000000059604645,silky shark
47.25,-10.75,0.6100000143051147,silky shark
47.75,-10.75,0.02999999932944774,silky shark
48.25,-10.75,0.05000000074505806,silky shark
48.75,-10.75,0.15000000596046448,silky shark
49.25,-10.75,0.30000001192092896,silky shark
49.75,-10.75,0.5699999928474426,silky shark
50.25,-10.75,0.7699999809265137,silky shark
50.75,-10.75,1,silky shark
51.25,-10.75,0.2800000011920929,silky shark
51.75,-10.75,0.02999999932944774,silky shark
40.25,-11.25,1,silky shark
40.75,-11.25,1,silky shark
41.25,-11.25,0.8799999952316284,silky shark
41.75,-11.25,0.6700000166893005,silky shark
42.25,-11.25,0.5099999904632568,silky shark
42.75,-11.25,0.36000001430511475,silky shark
43.25,-11.25,1,silky shark
43.75,-11.25,1,silky shark
44.25,-11.25,0.2300000041723251,silky shark
44.75,-11.25,0.1899999976158142,silky shark
45.25,-11.25,0.20999999344348907,silky shark
45.75,-11.25,0.2199999988079071,silky shark
46.25,-11.25,0.15000000596046448,silky shark
46.75,-11.25,0.15000000596046448,silky shark
47.25,-11.25,1,silky shark
47.75,-11.25,0.9900000095367432,silky shark
48.25,-11.25,0.15000000596046448,silky shark
